attempt_answer_id,user_id,quiz_id,question_id,quiz_attempt_id,given_answer,question_mark,achieved_mark,minus_mark,is_correct
337,567,9774,330,87,"a:1:{i:0;s:4:"1239";}",1.00,0.00,0.00,0
338,567,9774,328,87,"a:1:{i:0;s:4:"1230";}",1.00,0.00,0.00,0
339,567,9774,326,87,"a:1:{i:0;s:4:"1224";}",1.00,1.00,0.00,1
340,567,9774,327,87,"a:1:{i:0;s:4:"1228";}",1.00,0.00,0.00,0
341,534,9774,326,74,"a:1:{i:0;s:4:"1224";}",1.00,1.00,0.00,1
342,534,9774,327,74,"a:1:{i:0;s:4:"1229";}",1.00,0.00,0.00,0
343,534,9774,328,74,"a:1:{i:0;s:4:"1230";}",1.00,0.00,0.00,0
344,534,9774,329,74,"a:1:{i:0;s:4:"1237";}",1.00,1.00,0.00,1
345,534,9774,330,74,"a:1:{i:0;s:4:"1240";}",1.00,0.00,0.00,0
346,589,9774,327,66,"a:1:{i:0;s:4:"1229";}",1.00,0.00,0.00,0
347,589,9774,328,66,"a:1:{i:0;s:4:"1231";}",1.00,1.00,0.00,1
348,589,9774,329,66,"a:1:{i:0;s:4:"1237";}",1.00,1.00,0.00,1
349,589,9774,330,66,"a:1:{i:0;s:4:"1238";}",1.00,1.00,0.00,1
350,589,9774,326,66,"a:1:{i:0;s:4:"1224";}",1.00,1.00,0.00,1
351,579,9774,330,82,"a:1:{i:0;s:4:"1239";}",1.00,0.00,0.00,0
352,579,9774,327,82,"a:1:{i:0;s:4:"1229";}",1.00,0.00,0.00,0
353,579,9774,326,82,"a:1:{i:0;s:4:"1224";}",1.00,1.00,0.00,1
354,579,9774,329,82,"a:1:{i:0;s:4:"1237";}",1.00,1.00,0.00,1
355,579,9774,328,82,"a:1:{i:0;s:4:"1230";}",1.00,0.00,0.00,0
356,582,9774,327,83,"a:1:{i:0;s:4:"1226";}",1.00,1.00,0.00,1
357,582,9774,330,83,"a:1:{i:0;s:4:"1240";}",1.00,0.00,0.00,0
358,582,9774,329,83,"a:1:{i:0;s:4:"1237";}",1.00,1.00,0.00,1
359,582,9774,328,83,"a:1:{i:0;s:4:"1231";}",1.00,1.00,0.00,1
360,589,9774,327,66,"a:1:{i:0;s:4:"1229";}",1.00,0.00,0.00,0
361,589,9774,328,66,"a:1:{i:0;s:4:"1231";}",1.00,1.00,0.00,1
362,589,9774,329,66,"a:1:{i:0;s:4:"1237";}",1.00,1.00,0.00,1
363,589,9774,330,66,"a:1:{i:0;s:4:"1238";}",1.00,1.00,0.00,1
364,589,9774,326,66,"a:1:{i:0;s:4:"1224";}",1.00,1.00,0.00,1
365,567,9774,329,87,"a:1:{i:0;s:4:"1237";}",1.00,1.00,0.00,1
366,567,9774,330,87,"a:1:{i:0;s:4:"1239";}",1.00,0.00,0.00,0
367,567,9774,328,87,"a:1:{i:0;s:4:"1230";}",1.00,0.00,0.00,0
368,567,9774,326,87,"a:1:{i:0;s:4:"1224";}",1.00,1.00,0.00,1
369,567,9774,327,87,"a:1:{i:0;s:4:"1228";}",1.00,0.00,0.00,0
